doc_id,group,engine,device,lang,n_pages,seconds,sec_per_page,gt_found,gt_chars,pred_chars,gt_words,pred_words,exact_match,cer,wer,char_errors,word_errors,normalize,error,pdf,gt,pred_path
ko__231201_보도자료(360억_원_대출을_알선하고_억대_수수료를_취득한_대출_브로커_및_은행지점장_구속_기소)-통영지청,ko,paddleocr_vl,gpu:0,,4,64.679,16.17,1,2764,2880,650,492,0,0.248191,0.393846,686,256,basic,,/home/hjkim/doc_ocr/data/ko/231201_보도자료(360억_원_대출을_알선하고_억대_수수료를_취득한_대출_브로커_및_은행지점장_구속_기소)-통영지청.pdf,/home/hjkim/doc_ocr/data/gt/ko/231201_보도자료(360억_원_대출을_알선하고_억대_수수료를_취득한_대출_브로커_및_은행지점장_구속_기소)-통영지청.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__231201_보도자료(360억_원_대출을_알선하고_억대_수수료를_취득한_대출_브로커_및_은행지점장_구속_기소)-통영지청.txt
ko__250723_보도자료(유튜브_36주_태아_낙태살인_사건_구속_기소_등)-서울중앙지검,ko,paddleocr_vl,gpu:0,,4,79.735,19.934,1,3443,3365,806,744,0,0.054604,0.162531,188,131,basic,,/home/hjkim/doc_ocr/data/ko/250723_보도자료(유튜브_36주_태아_낙태살인_사건_구속_기소_등)-서울중앙지검.pdf,/home/hjkim/doc_ocr/data/gt/ko/250723_보도자료(유튜브_36주_태아_낙태살인_사건_구속_기소_등)-서울중앙지검.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__250723_보도자료(유튜브_36주_태아_낙태살인_사건_구속_기소_등)-서울중앙지검.txt
ko__251223_보도자료(세계_1위_K반도체_국가핵심기술_유출사건_수사_결과)-서울중앙지검,ko,paddleocr_vl,gpu:0,,8,152.883,19.11,1,6651,6978,1605,1430,0,0.14464,0.26729,962,429,basic,,/home/hjkim/doc_ocr/data/ko/251223_보도자료(세계_1위_K반도체_국가핵심기술_유출사건_수사_결과)-서울중앙지검.pdf,/home/hjkim/doc_ocr/data/gt/ko/251223_보도자료(세계_1위_K반도체_국가핵심기술_유출사건_수사_결과)-서울중앙지검.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__251223_보도자료(세계_1위_K반도체_국가핵심기술_유출사건_수사_결과)-서울중앙지검.txt
ko__260120__보도자료(6776억_원_규모_한국전력공사_입찰_담합_사건_수사_결과)-서울중앙지검,ko,paddleocr_vl,gpu:0,,7,152.258,21.751,1,6565,7816,1516,1196,0,0.308454,0.348945,2025,529,basic,,/home/hjkim/doc_ocr/data/ko/260120__보도자료(6776억_원_규모_한국전력공사_입찰_담합_사건_수사_결과)-서울중앙지검.pdf,/home/hjkim/doc_ocr/data/gt/ko/260120__보도자료(6776억_원_규모_한국전력공사_입찰_담합_사건_수사_결과)-서울중앙지검.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__260120__보도자료(6776억_원_규모_한국전력공사_입찰_담합_사건_수사_결과)-서울중앙지검.txt
pil__AvoidImmigrationScamsGetHelp_Tagalog-508,pil,paddleocr_vl,gpu:0,,5,79.551,15.91,1,9730,10285,1586,1628,0,0.065262,0.080706,635,128,basic,,/home/hjkim/doc_ocr/data/pil/AvoidImmigrationScamsGetHelp_Tagalog-508.pdf,/home/hjkim/doc_ocr/data/gt/pil/AvoidImmigrationScamsGetHelp_Tagalog-508.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/pil__AvoidImmigrationScamsGetHelp_Tagalog-508.txt
pil__Government Imposter Scams poster_TL,pil,paddleocr_vl,gpu:0,,1,3.38,3.38,1,320,317,51,49,0,0.009375,0.058824,3,3,basic,,/home/hjkim/doc_ocr/data/pil/Government Imposter Scams poster_TL.pdf,/home/hjkim/doc_ocr/data/gt/pil/Government Imposter Scams poster_TL.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/pil__Government Imposter Scams poster_TL.txt
pil__How-to-avoid-a-scam_Tagalog_August2023,pil,paddleocr_vl,gpu:0,,2,32.075,16.037,1,4115,4056,679,668,0,0.026002,0.044183,107,30,basic,,/home/hjkim/doc_ocr/data/pil/How-to-avoid-a-scam_Tagalog_August2023.pdf,/home/hjkim/doc_ocr/data/gt/pil/How-to-avoid-a-scam_Tagalog_August2023.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/pil__How-to-avoid-a-scam_Tagalog_August2023.txt
pil__empower-yourself-against-utility-scams_tl-508ftclogo,pil,paddleocr_vl,gpu:0,,1,19.045,19.045,1,2453,2551,410,418,0,0.046474,0.058537,114,24,basic,,/home/hjkim/doc_ocr/data/pil/empower-yourself-against-utility-scams_tl-508ftclogo.pdf,/home/hjkim/doc_ocr/data/gt/pil/empower-yourself-against-utility-scams_tl-508ftclogo.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/pil__empower-yourself-against-utility-scams_tl-508ftclogo.txt
pil__scammers-intl-students-money_tl-508ftclogo,pil,paddleocr_vl,gpu:0,,1,18.516,18.516,1,2503,2558,408,413,0,0.023572,0.022059,59,9,basic,,/home/hjkim/doc_ocr/data/pil/scammers-intl-students-money_tl-508ftclogo.pdf,/home/hjkim/doc_ocr/data/gt/pil/scammers-intl-students-money_tl-508ftclogo.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/pil__scammers-intl-students-money_tl-508ftclogo.txt
ru__72lj3fbo7i1h83uotfpw88vvhj0s5nm8,ru,paddleocr_vl,gpu:0,,3,44.226,14.742,1,7031,4253,973,595,0,0.410895,0.405961,2889,395,basic,,/home/hjkim/doc_ocr/data/ru/72lj3fbo7i1h83uotfpw88vvhj0s5nm8.pdf,/home/hjkim/doc_ocr/data/gt/ru/72lj3fbo7i1h83uotfpw88vvhj0s5nm8.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ru__72lj3fbo7i1h83uotfpw88vvhj0s5nm8.txt
